SENT,PAYOFFUID,PAYOFFLOANID,SENT_DATE,EMAIL_CAMPAIGN_NAME,EVENT_TYPE,EMAIL_ID
1,98dbe64d-c713-426a-b60c-6eea2555c866,HM6EEA2555C866,2025-09-30,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,9d8ad23d-f0db-4057-ace0-5d2a1caf1ef2,HM5D2A1CAF1EF2,2025-09-30,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,b83177c8-327b-4d03-9fb8-8cf472431307,HM8CF472431307,2025-09-30,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,6d6666d7-4180-418e-b45a-e55c766b12d3,HME55C766B12D3,2025-09-29,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,5e777a59-a8a7-43c2-b65f-716446f4411e,HM716446F4411E,2025-09-29,COL_Batch_DLQ_PastDue_10Days_EM3_0225,Sent,164936
1,98dbe64d-c713-426a-b60c-6eea2555c866,HM6EEA2555C866,2025-09-28,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,9d8ad23d-f0db-4057-ace0-5d2a1caf1ef2,HM5D2A1CAF1EF2,2025-09-28,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,b83177c8-327b-4d03-9fb8-8cf472431307,HM8CF472431307,2025-09-28,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,6d6666d7-4180-418e-b45a-e55c766b12d3,HME55C766B12D3,2025-09-27,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,9d8ad23d-f0db-4057-ace0-5d2a1caf1ef2,HM5D2A1CAF1EF2,2025-09-26,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,b83177c8-327b-4d03-9fb8-8cf472431307,HM8CF472431307,2025-09-26,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,98dbe64d-c713-426a-b60c-6eea2555c866,HM6EEA2555C866,2025-09-26,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,c258175c-c2a0-4fb5-a2f2-65197bb16acb,HM65197BB16ACB,2025-09-26,COL_Batch_DLQ_PastDue_10Days_EM3_0225,Sent,164936
1,6d6666d7-4180-418e-b45a-e55c766b12d3,HME55C766B12D3,2025-09-25,COL_Batch_DLQ_PastDue_25Days_EM5_0225,Sent,165029
1,90e6908d-bed7-4f79-a485-b9ab70a98326,HMB9AB70A98326,2025-09-25,COL_Batch_DLQ_PastDue_3Days_EM1_0225,Sent,164932
1,98dbe64d-c713-426a-b60c-6eea2555c866,HM6EEA2555C866,2025-09-24,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,2025-09-24,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,b83177c8-327b-4d03-9fb8-8cf472431307,HM8CF472431307,2025-09-24,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,9d8ad23d-f0db-4057-ace0-5d2a1caf1ef2,HM5D2A1CAF1EF2,2025-09-24,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,2025-09-24,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,5e777a59-a8a7-43c2-b65f-716446f4411e,HM716446F4411E,2025-09-24,COL_Batch_DLQ_PastDue_5Days_EM2_0225,Sent,164934
1,06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,2025-09-22,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,2025-09-22,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
